created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Wed Nov 08 19:52:33 +0000 2023,1722341356201558381,"Contohnya milisi warga di Kfar Aza, Melfalsim, dan Nir Am. Mereka adalah warga bersenjata yang melakukan baku tembak, bertahan melawan serangan Hamas dan ada juga di antara warga semacam ini yang terbunuh. [4][5]",1,1,72,651,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341356201558381,
Wed Nov 08 19:52:32 +0000 2023,1722341353458438187,"Dalam mengambil sandera, Hamas menyerang beberapa Kibbutz. Dalam konteks Israel, Kibbutz adalah wilayah otonom secara ekonomi yg dikerjakan secara komunitas dan warganya juga menjadi milisi yang menjaga Kibbutz tersebut. [3]",1,1,81,687,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341353458438187,
Wed Nov 08 19:52:31 +0000 2023,1722341347292844139,"Dilaporkan juga bahwa Hamas menyandera ratusan warga Israel. Ini dilakukan dengan alasan bahwa ada 5.300 warga Palestina yang ditahan oleh Israel tanpa keadilan (banyak di antaranya wanita dan anak), sehingga Hamas mengharapkan akan ada penukaran tawanan. https://t.co/njk2wXoPdE",6,3,223,1194,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341347292844139,
Wed Nov 08 19:52:30 +0000 2023,1722341344767590434,"Misi dari penyerangan ini, sebagaimana yang disampaikan Abu Ubeida, adalah untuk menghancurkan tentara Israel Divisi Gaza di 15 titik utama &amp  10 titik militer lainnya. [2] Di sini jelas bahwa niat utama Hamas adalah untuk menarget IDF, bukan membantai warga sipil.",1,7,159,1144,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341344767590434,
Wed Nov 08 19:52:29 +0000 2023,1722341340997161430,"Pertama, kita harus melihat serangan ini dalam konteks konflik Palestina-Israel secara menyeluruh. Hamas melakukan serangan ini dalam konteks pembalasan atas penistaan Masjid al-Aqsa, blokade Jalur Gaza, dan pemukiman ilegal Israel di Tepi Barat. [1]",2,9,171,1385,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341340997161430,
Wed Nov 08 19:52:29 +0000 2023,1722341337830506525,"Apakah Hamas benar-benar membantai 1.400 warga sipil dalam serangan 7 Oktober? Jawabannya: tidak. Sudah sebulan lebih sejak serangan Hamas ke Israel dan berbagai hasil investigasi sudah dipublikasikan, sebenarnya apa yang terjadi pada hari itu? Berikut ini ulasannya. (A thread) https://t.co/wOgekcxPUW",169,173,11971,30891,in,59980041,1722341337830506525,Greschinov,https://twitter.com/Greschinov/status/1722341337830506525,
Wed Nov 08 19:27:27 +0000 2023,1722335040497938890,"Kiongozi mkuu wa Hamas, Saleh al-Arouri anasema 'tunapaswa kujadili Gaza inayokaliwa kwa mabavu, na sio mawazo ya Gazs baada ya kuondoa Hamas.   Aliongeza kuwa ‘wafungwa wetu wote wanapaswa kuachiliwa kutoka kwenye magereza ya Israeli na hii ni haki yetu.’ https://t.co/XpdB5FQj2P""",0,0,6,208,in,1377150982077882372,1722335040497938890,siadevinci,https://twitter.com/siadevinci/status/1722335040497938890,
Wed Nov 08 18:28:52 +0000 2023,1722320298429788458,"🇵🇸🇮🇱 Conflict Update  Alhamdulillah Allah Akbar!!!  Cuplikan kemenangan demi kemenangan #Hamas #AlQassam terus diberikan, tidak seperti #IsraHell yang memberikan propaganda demi propaganda.  Mujahidin Al-Qassam menghadapi pasukan yang menginvasi area utara dan selatan Kota #Gaza… https://t.co/a7URmyKguf",11,26,423,1102,in,113764464,1722320298429788458,Avolanza,https://twitter.com/Avolanza/status/1722320298429788458,
Wed Nov 08 18:00:49 +0000 2023,1722313239131001024,"🇵🇸🇮🇱 Conflict Update  Allahu Akbar, Segala Puji Sungguh Hanya Milik Allah, Yang telah memberikan kemenangan atas #IsraHell kepada #Hamas dengan Brigade Izzuddin #AlQassam   Semoga Allah SWT terus memenangkan para mujahidin dan menyelamatkan #Palestine dari invasi #Zionist yang… https://t.co/3oE9UVDRUQ",35,54,1126,2355,in,113764464,1722313239131001024,Avolanza,https://twitter.com/Avolanza/status/1722313239131001024,
Wed Nov 08 17:38:46 +0000 2023,1722307687676092481,"@aryuno_ @tanyakanrl maksudnya dibiarin sama hamas? selama ini mereka ga ngungsi soalnya tiap ngungsi ditungguin sama tentara zionis dan dibunuhin, jd mereka yg mau ngungsi salah, mau stay salah, bukan karna gaboleh sama hamas. emg narasi dari mana ya kak kok dibilang ga boleh dibolehin sama hamas?",0,2,4,255,in,2558925121,1722297065026535487,wanseuwanseu,https://twitter.com/wanseuwanseu/status/1722307687676092481,"aryuno_, tanyakanrl"
